BJD FluxNorm FluxNormErr Airmass FWHM_TL SkyBg
2460900.77061343 1.0480093 0.06157992 1.97523 2.3788 36992.07
2460900.77084491 1.0750883 0.0624639 1.98319 2.2831 36899.598
2460900.77099537 1.0566669 0.06199937 1.98062 2.0794 36838.39
2460900.77113426 1.0388666 0.06147024 1.97804 2.1052 36781.52
2460900.77128472 1.0275575 0.06109077 1.97548 2.1814 36752.32
2460900.77143519 1.0718791 0.06177585 1.97294 2.272 36699.395
2460900.77158565 1.0799007 0.06165659 1.9704 2.0748 36605.465
2460900.77172454 1.020253 0.06098868 1.96786 2.1303 36623.684
2460900.771875 1.0991795 0.06193242 1.96533 2.1633 36588.164
2460900.77202546 1.0590965 0.0608581 1.9628 2.067 36557.914
2460900.77217593 1.0532981 0.06092019 1.9603 2.0831 36514.59
2460900.77231481 1.0561796 0.06098087 1.9578 2.075 36513.99
2460900.77246528 1.0428036 0.060571 1.95531 2.2207 36487.848
2460900.77261574 1.0390719 0.06026669 1.95282 2.223 36485.38
2460900.7727662 1.0563004 0.06056942 1.95034 2.0841 36449.33
2460900.77290509 0.99091136 0.05939989 1.94788 2.1882 36486.758
2460900.77305556 1.0090767 0.05965896 1.94539 2.0938 36473.125
2460900.77320602 1.0580577 0.05981705 1.94295 2.0269 36457.82
2460900.77335648 1.013475 0.05900138 1.9405 2.115 36408.11
2460900.77350694 1.0450665 0.05968802 1.93807 2.0703 36353.69
2460900.77364583 1.0611705 0.06032541 1.93564 2.1476 36337.715
2460900.7737963 1.0510337 0.05954857 1.93322 2.0254 36301.062
2460900.77394676 1.0730414 0.05945446 1.93081 2.1722 36259.848
2460900.77409722 0.97527343 0.0582203 1.92841 2.0869 36218.58
2460900.77424768 1.073104 0.05920932 1.92602 2.0692 36160.684
2460900.77438657 1.0269914 0.0590822 1.92364 2.0445 36141.54
2460900.77453704 1.0172197 0.05814056 1.92126 2.1048 36103.65
2460900.7746875 1.0112545 0.05818442 1.91888 2.0963 36074.707
2460900.77483796 1.0362983 0.05798752 1.91652 2.0589 36093.367
2460900.77497685 1.0460798 0.05847437 1.91417 2.1064 36055.44
2460900.77512731 1.0475537 0.0583282 1.91181 2.158 35989.688
2460900.77527778 0.98552793 0.05747056 1.90944 2.0426 35960.418
2460900.77542824 0.99455976 0.05762941 1.9071 2.0241 35937.406
2460900.7755787 1.0605279 0.05814648 1.90478 2.0293 35947.56
2460900.77571759 1.0388801 0.05757042 1.90246 2.0593 35892.086
2460900.77586806 1.0389098 0.05766387 1.90017 2.1302 35818.805
2460900.77601852 1.0494673 0.05760351 1.89787 2.0204 35782.22
2460900.77616898 1.056529 0.05699031 1.89557 2.0771 35743.293
2460900.77630787 1.137842 0.05849012 1.8933 2.1037 35678.023
2460900.77645833 1.0239958 0.05709369 1.89102 2.1367 35650.71
2460900.7766088 1.092962 0.05664786 1.88874 2.1549 35559.6
2460900.77675926 1.0827017 0.0569493 1.88649 2.1568 35540.797
2460900.77689815 1.0246233 0.05595667 1.88422 2.2115 35464.754
2460900.77704861 1.0243163 0.05598643 1.88199 2.1958 35465.402
2460900.77719907 1.0426736 0.0562015 1.87974 2.0001 35393.367
2460900.77733796 1.052811 0.05663286 1.87751 2.1161 35451.277
2460900.77748843 0.9847 0.05527294 1.87524 1.9711 35383.477
2460900.77763889 0.9975924 0.05538847 1.87303 2.1343 35355.1
2460900.77778935 1.0855 0.05650429 1.87081 2.1586 35304.773
2460900.77793981 1.0598233 0.05633593 1.86861 2.0056 35282.9
2460900.7780787 1.0524491 0.05566913 1.86641 2.2037 35202.91
2460900.77822917 0.99041003 0.05466982 1.8642 2.1551 35143.477
2460900.77837963 1.0222182 0.05455004 1.86201 2.2228 35121.23
2460900.77853009 1.0593112 0.05529476 1.85984 2.157 35076.1
2460900.77866898 1.0097928 0.05489801 1.85767 2.1317 35005.465
2460900.77881944 1.0638676 0.05525035 1.8555 2.2599 34966.254
2460900.77896991 1.000803 0.05383256 1.85334 2.2954 34919.82
2460900.77912037 0.9475097 0.05357205 1.85118 2.2927 34885.027
2460900.77925926 1.0228179 0.05458256 1.84903 2.201 34876.98
2460900.77940972 1.0335364 0.05409825 1.8469 2.219 34895.395
2460900.77956019 1.0520365 0.0543588 1.84476 2.2382 34862.207
2460900.77971065 1.0187628 0.05392479 1.84259 2.0655 34837.492
2460900.77986111 0.9845444 0.05376495 1.84047 2.2389 34877.43
2460900.78 1.0011847 0.05336502 1.83838 2.2775 34844.992
2460900.78015046 1.0180348 0.05335654 1.83627 2.2259 34809.812
2460900.78030093 1.0467521 0.05368727 1.83417 2.0695 34781.406
